	response	predictor
59	pheno::BMI	pheno::Age
69	pheno::Weight	pheno::Age
1	pheno::Percept_Ori	pheno::Alcohol
14	pheno::HDLratio	pheno::Alcohol
19	pheno::Weight	pheno::Alcohol
31	pheno::Episodic_Memory	pheno::APOE
22	pheno::SBP	pheno::CHL
25	pheno::DBP	pheno::CHL
2	pheno::Percept_Ori	pheno::G_Cognitive_Score
5	pheno::Percept_Speed	pheno::G_Cognitive_Score
7	pheno::Working_Memory	pheno::G_Cognitive_Score
8	pheno::Episodic_Memory	pheno::G_Cognitive_Score
27	pheno::MMSE	pheno::G_Cognitive_Score
44	pheno::Semantic_Memory	pheno::G_Cognitive_Score
10	pheno::CHL	pheno::HDL
12	pheno::HDL	pheno::HDLratio
17	pheno::LDL	pheno::HDLratio
11	pheno::CHL	pheno::LDL
13	pheno::HDL	pheno::LDL
9	pheno::Episodic_Memory	pheno::MMSE
20	pheno::Weight	pheno::Percept_Ori
3	pheno::Percept_Ori	pheno::Percept_Speed
28	pheno::MMSE	pheno::Percept_Speed
32	pheno::G_Cognitive_Score	pheno::Percept_Speed
45	pheno::Semantic_Memory	pheno::Percept_Speed
15	pheno::HDLratio	pheno::Physical_Activity
23	pheno::SBP	pheno::Physical_Activity
60	pheno::BMI	pheno::Physical_Activity
26	pheno::DBP	pheno::SBP
4	pheno::Percept_Ori	pheno::Semantic_Memory
6	pheno::Percept_Speed	pheno::Semantic_Memory
29	pheno::MMSE	pheno::Semantic_Memory
21	pheno::Weight	pheno::Smoking
24	pheno::SBP	pheno::Smoking
16	pheno::HDLratio	pheno::Weight
18	pheno::BMI	pheno::Weight
30	pheno::MMSE	pheno::Working_Memory
