response	predictor
WNT3A	CAMK2B
WNT3A	PPP3CA
DKK4	CAMK2B
WNT3A	AXIN1
MMP7	CAMK2B
MMP7	PPP3CA
WNT3A	DKK2
DKK4	PPP3CA
WNT3A	GSK3B
WNT3A	CXXC4
WNT3A	WNT2
WNT3A	HBM
WNT3A	NOTUM
DKK4	CER1
MMP7	WNT2
WNT3A	CER1
MMP7	PRKACB
WNT3A	PRICKLE1
WNT3A	MAP3K7
WNT3A	RBX1
DKK4	WNT2
DKK4	DKK2
WNT3A	CSNK2A1P
MMP7	GSK3B
WNT3A	FZD6
WNT3A	MYC
WNT3A	WNT4
WNT3A	CCND1
WNT3A	WNT16
WNT3A	CTBP1
MMP7	PPP3CB
DKK4	JUN
MMP7	CXXC4
MMP7	HBM
WNT3A	TBL1Y
WNT3A	CTBP2
DKK4	AXIN1
DKK4	CXXC4
MMP7	MAP3K7
DKK4	HBM
DKK4	PRKACB
WNT3A	CAMK2G
WNT3A	DVL1
MMP7	DKK2
MMP7	WNT16
DKK4	GSK3B
MMP7	PRICKLE1
PRKACG	MYC
MMP7	WNT5A
MMP7	SMAD3
