From 	To
NOTUM	WNT
FRP	FRIZZLED
FRP	LRP
CER1	WNT
PORCN	WNT
WIF1	WNT
WNT	FRIZZLED
WNT	LRP
PEDF	FRIZZLED
PEDF	LRP
SOST	FRIZZLED
SOST	LRP
DKK	FRIZZLED
DKK	LRP
FRIZZLED	LRP
BAMBI	LRP
DALLY	FRIZZLED
FRIZZLED	DVL
CSNK1E	DVL
PAR1	DVL
NKD	DVL
SENP2	DVL
CXXC4	DVL
GBP	DVL
CK2	GSK3B
GSK3B	AXIN
AXIN	APC
APC	CTNNB1
GSK3B	CTNNB1
CTNNB1	CSNK1A1
PKA	CTNNB1
CTNNBIP1	TCF
CTNNBIP1	LEF1
CHD8	TCF
CHD8	LEF1
SOX17	TCF
SOX17	LEF1
RUVBL1	TCF
RUVBL1	LEF1
CBP	TCF
CBP	LEF1
SMAD4	TCF
SMAD4	LEF1
SMAD3	TCF
SMAD3	LEF1
CTBP	TCF
CTBP	LEF1
NLK	TCF
NLK	LEF1
MAP3K7	NLK
TCF	LEF1
TCF	MYC
TCF	JUN
TCF	FOSL1
TCF	cycD
TCF	PPARD
TCF	MMP7
LEF1	MYC
LEF1	JUN
LEF1	FOSL1
LEF1	cycD
LEF1	PPARD
LEF1	MMP7
TP53	SIAH1
SIAH1	SIP2
SIP2	SKP1
APC	SKP1
SKP1	TBL1
TrCP	SKP1
SKP1	CUL1
SKP1	RBX1
PAR1	DVL
NKD	DVL
STBM	BAMBI
STBM	FRIZZLED
FRIZZLED	GPC4
STBM	DVL
PRICKLE	DVL
FRIZZLED	DVL
INVS	DVL
DVL	DAAM
DVL	RHOA
DVL	RAC
RHOA	ROCK2
RHOA	JNK
RAC	JNK
FRIZZLED	PLC
PLC	CAMKII
PLC	CAN
PLC	PKC
CAN	NFAT
PSEN1	CTNNB1
LRP	FRIZZLED
FRIZZLED	DALLY
DVL	CSNK1E
DVL	GBP
AXIN	GSK3B
APC	AXIN
CTNNB1	APC
CSNK1A1	CTNNB1
LEF1	TCF
SIP2	SIAH1
SKP1	SIP2
SKP1	APC
TBL1	SKP1
SKP1	TrCP
CUL1	SKP1
RBX1	SKP1
BAMBI	STBM
FRIZZLED	STBM
GPC4	FRIZZLED
DAAM	DVL
RHOA	DVL
WNT	WNT10B
WNT	WNT7A
WNT	WNT11
WNT	WNT2B
WNT	WNT5B
WNT	WNT4
WNT	WNT9B
WNT	WNT2
WNT	WNT16
WNT	WNT1
WNT	WNT9A
WNT	WNT3A
WNT	WNT8A
WNT	WNT5A
WNT	WNT10A
WNT	WNT3
WNT	WNT8B
WNT	WNT6
WNT	WNT7B
NFATC	NFATC1
NFATC	NFATC2
NFATC	NFATC3
NFATC	NFATC4
PKA	PRKACA
PKA	PRKACB
PKA	PRKACG
RAC	RAC1
RAC	RAC2
RAC	RAC3
PLC	PLCB1
PLC	PLCB2
PLC	PLCB3
PLC	PLCB4
TrCP	FBXW11
TrCP	BTRC
TCF	TCF7L1
TCF	TCF7L2
TCF	TCF3
TCF	TCF4
TCF	TCF7
PEDF	SERPINF1
CAMKII	CAMK2A
CAMKII	CAMK2B
CAMKII	CAMK2D
CAMKII	CAMK2G
TBL1	TBL1X
TBL1	TBL1Y
TBL1	TBL1XR1
PKC	PRKCA
PKC	PRKCB
PKC	PRKCG
PRICKLE	PRICKLE1
PRICKLE	PRICKLE2
PRICKLE	RILP
FRIZZLED	FZD1
FRIZZLED	FZD2
FRIZZLED	FZD3
FRIZZLED	FZD4
FRIZZLED	FZD5
FRIZZLED	FZD6
FRIZZLED	FZD7
FRIZZLED	FZD8
FRIZZLED	FZD9
FRIZZLED	FZD10
CK2	CSNK2A1
CK2	CSNK2A2
CK2	CSNK2B
CK2	CSNK2A1P
FRP	SFRP1
FRP	SFRP2
FRP	SFRP4
FRP	SFRP5
DKK	DKK1
DKK	DKK2
DKK	DKK4
JNK	MAPK8
JNK	MAPK9
JNK	MAPK10
LRP	LRP5
LRP	HBM
LRP	LRP6
AXIN	AXIN1
AXIN	AXIN2
CAN	PPP3R2
CAN	PPP3CC
CAN	PPP3CB
CAN	PPP3CA
CAN	PPP3R1
DVL	DVL1
DVL	DVL2
DVL	DVL3
cycD	CCND1
cycD	CCND2
cycD	CCND3
GBP	FRAT1
GBP	FRAT2
CTBP	CTBP1
CTBP	CTBP2
APC	APC1
APC	APC2
STBM	VANGL1
STBM	VANGL2
NKD	NKD1
NKD	NKD2
DAAM	DAAM1
DAAM	DAAM2
